Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Tony,Öberg,Stationsgatan 93,Borås,55963,Sverige,SE,19581013-6879,+46,073-33 70 45,1958-10-13,True
John,Mills,Timothy Mountain 189,Rodriguezfort,75251,Danmark,DK,19570109-1946,+45,001-520-510-5087x16675,1957-01-09,True
Stein,Eide,Solheimjordet 17,Ivarfjell,0869,Norge,NO,19520811-5195,+47,87 39 48 33,1952-08-11,True
Laura,Haapala,Ilmattarenkatu 5,Harjavalta,01834,Finland,FI,19840122-1088,+358,(+358) 242777299,1984-01-22,True
Maria,Eriksson,Granvägen 766,Göteborg,48182,Sverige,SE,19791114-9074,+46,08-77 14 06,1979-11-14,True
Natasha,Allen,Wood Land 35731,New Edwardburgh,07216,Danmark,DK,20000214-8672,+45,+1-484-668-5310,2000-02-14,True
Dawn,Ortiz,Jones Vista 8987,Lake Andrewchester,38995,Danmark,DK,19410709-9709,+45,+1-621-898-2789,1941-07-09,True
Olof,Lundqvist,Parkgränd 38,Mölndal,28847,Sverige,SE,20000808-0430,+46,+46 (0)8 590 489 95,2000-08-08,True
Bjørg,Sæther,Holmplassen 01,Martevær,5602,Norge,NO,19740402-3409,+47,70082724,1974-04-02,True
Jerry,Bright,Wilson Loaf 4902,Port Annette,67206,Danmark,DK,19421111-4489,+45,(761)826-5547x917,1942-11-11,True
Lindsay,Carr,Ray Corner 1185,Port Andrew,50174,Danmark,DK,19890926-7553,+45,(637)875-4414,1989-09-26,True
Marie,Madsen,Sandvikstubben 30,Alfmark,1840,Norge,NO,19690705-3974,+47,03 65 41 77,1969-07-05,True
Jorunn,Hauge,Jørgensentunet 9F,Martinsen,9641,Norge,NO,19890215-6287,+47,97 77 30 95,1989-02-15,True
Nina,Hanssen,Haugenlunden 10D,Danielsen,7610,Norge,NO,19541014-3644,+47,474 87 403,1954-10-14,True
Rune,Evensen,Berntsengrenda 99,Paulsen,9611,Norge,NO,19520731-6386,+47,98343841,1952-07-31,True
Corey,Morris,Gonzalez Loop 31022,Staceymouth,13643,Danmark,DK,19640430-2487,+45,(548)290-2253x83669,1964-04-30,True
Roar,Myhre,Haugehøgda 2B,Næss,0390,Norge,NO,19871023-1169,+47,+47 08 23 04 92,1987-10-23,True
Karl,Jonsson,Kyrkogatan 53,Östersund,21600,Sverige,SE,19680216-2500,+46,08-556 98 97,1968-02-16,True
Louise,Pettersson,Industrivägen 7,Gävle,30755,Sverige,SE,19870128-3401,+46,08-023 82 28,1987-01-28,True
Börje,Persson,Kyrkostigen 70,Skövde,47632,Sverige,SE,19840112-0598,+46,0116-68 67 71,1984-01-12,True
Robin,Davis,Sherry Radial 498,Avilatown,34277,Danmark,DK,19470916-7062,+45,(664)589-2298x7431,1947-09-16,True
Kristoffer,Dahlberg,Skogstorget 8,Borås,24722,Sverige,SE,19430521-5944,+46,08-066 603 07,1943-05-21,True
Albert,Andersson,Ekvägen 37,Falun,48100,Sverige,SE,19451021-4723,+46,08-734 33 97,1945-10-21,True
Joakim,Hjalmarsson,Ringvägen 33,Jönköping,74728,Sverige,SE,19920617-7733,+46,013-149 13 08,1992-06-17,True
Sissel,Thomassen,Thomassenroa 63,Vidarvær,6603,Norge,NO,19630906-8709,+47,+4734629584,1963-09-06,True
Sonja,Andersson,Gengatan 71,Trollhättan,61144,Sverige,SE,19701009-1765,+46,+46 (0)53 04 21 28,1970-10-09,True
Rune,Bakke,Johannessenløkka 75E,Evaøy,0821,Norge,NO,19840507-5042,+47,90349969,1984-05-07,True
Sara,Nguyen,Fredriksenroa 696,Ruud,4256,Norge,NO,19900411-5825,+47,+4702762680,1990-04-11,True
Ingrid,Persson,Järnvägsvägen 13,Västerås,97546,Sverige,SE,19481202-0677,+46,08-855 158 73,1948-12-02,True
Ingrid,Jonsson,Skoltorget 62,Södertälje,64099,Sverige,SE,19960717-0692,+46,08-064 549 61,1996-07-17,True
Eeva,Kokkonen,Uunisepänkatu 4,Veteli,97009,Finland,FI,19590528-627L,+358,(+358) 155908367,1959-05-28,True
Johanna,Karlsson,Nyvägen 13,Linköping,65618,Sverige,SE,19540407-3972,+46,036-813 77 62,1954-04-07,True
Arvid,Lundin,Kvarngränd 1,Skellefteå,27297,Sverige,SE,19850822-2666,+46,08-48 89 28,1985-08-22,True
Christine,Ramirez,Garrett Spur 731,West Stanley,98203,Danmark,DK,19720101-4829,+45,277.550.6159x223,1972-01-01,True
Camilla,Magnusson,Villagränd 830,Landskrona,96781,Sverige,SE,19731012-5883,+46,08-750 34 32,1973-10-12,True
Carina,Samuelsson,Ringgatan 060,Skövde,45666,Sverige,SE,19710512-9158,+46,+46 (0)576 409 09,1971-05-12,True
Linus,Johansson,Aspgatan 8,Växjö,26065,Sverige,SE,19831217-5430,+46,+46 (0)475 921 02,1983-12-17,True
Eivind,Haugen,Sætherhagen 3,Moen,2894,Norge,NO,19431103-4283,+47,97251433,1943-11-03,True
Göran,Danielsson,Ängsgatan 33,Luleå,46632,Sverige,SE,19890519-6358,+46,0847-24 14 87,1989-05-19,True
Robert,Jakobsen,Jørgensenplassen 406,Rolfås,1342,Norge,NO,19760821-4689,+47,43856642,1976-08-21,True
Siv,Svensson,Ängsgränd 8,Ängelholm,95436,Sverige,SE,19961130-8939,+46,0243-124 66,1996-11-30,True
Pål,Ahmed,Holmlia 1,Berg,7206,Norge,NO,19550521-8080,+47,25 13 85 26,1955-05-21,True
Vilde,Nielsen,Knutsengrenda 10B,Eide,7420,Norge,NO,19420601-5673,+47,44 29 61 27,1942-06-01,True
Kjell,Gustafsson,Parkvägen 487,Varberg,56120,Sverige,SE,19670527-5030,+46,08-908 63 88,1967-05-27,True
Olof,Gunnarsson,Kyrkogränd 2,Motala,95548,Sverige,SE,19781119-1895,+46,+46 (0)84 80 58 02,1978-11-19,True
Kjell,Magnusson,Kyrkstigen 3,Södertälje,23357,Sverige,SE,19960411-3663,+46,08-70 45 59,1996-04-11,True
Ingeborg,Bakken,Fredriksenspranget 5,Sæther,1485,Norge,NO,19461026-6426,+47,97284166,1946-10-26,True
Ann,Reed,Ibarra Rest 439,Esparzastad,18750,Danmark,DK,19850227-8866,+45,8754469285,1985-02-27,True
Jordan,Vasquez,Lopez Haven 6250,Zacharyfort,35862,Danmark,DK,19480824-3409,+45,9197521561,1948-08-24,True
Carl,Nilsson,Kyrkovägen 9,Lidköping,74787,Sverige,SE,19711126-7297,+46,08-62 59 79,1971-11-26,True
Gro,Mikkelsen,Tangenplassen 3,Aasen,1302,Norge,NO,19921119-8486,+47,453 13 794,1992-11-19,True
Åke,Andersson,Kyrkvägen 01,Linköping,76869,Sverlge,SE,19820713-1464,+46,075-29 59 46,1982-07-13,True
Britt-Marie,Johansson,Genvägen 97,Umeå,26212,Sverige,SE,20000406-6632,+46,059-158 82 63,2000-04-06,True
Sofia,Halonen,Fahlanderin puistokatu 33,Säkylä,99552,Finland,FI,19761207-3932,+358,(+358) 075843507,1976-12-07,True
Maria,Lindgren,Parkvägen 4,Karlskrona,28093,Sverige,SE,19480605-9831,+46,08-91 66 60,1948-06-05,True
Ingegerd,Lundberg,Ängstorget 262,Gävle,20220,Sverige,SE,19470321-0426,+46,+46 (0)594 277 83,1947-03-21,True
Annette,Wells,Nicholas Skyway 4883,Codyport,31239,Danmark,DK,19431213-7814,+45,+1-328-720-7677x9450,1943-12-13,True
Stig,Johansson,Grangränd 050,Falun,11923,Sverige,SE,19460629-7347,+46,+46 (0)8 650 040 28,1946-06-29,True
Kent,Boman,Nygatan 92,Piteå,51157,Sverige,SE,19590203-5247,+46,08-92 71 25,1959-02-03,True
Elisabet,Bengtsson,Storvägen 1,Sandviken,27568,Sverige,SE,19960906-7478,+46,005-55 18 00,1996-09-06,True
Maria,Karlsson,Ringgatan 6,Uddevalla,45878,Sverige,SE,19950219-2533,+46,08-81 30 42,1995-02-19,True
Anna,Nilsen,Bergløkka 5H,Martinsen,6151,Norge,NO,19760617-1118,+47,44276526,1976-06-17,True
Vera,Jansson,Kvarnvägen 85,Malmö,98577,Sverige,SE,19901103-6664,+46,0447-93 03 92,1990-11-03,True
Martine,Ruud,Hellandroa 7,Solheim,0599,Norge,NO,19480410-8161,+47,+4770279941,1948-04-10,True
Linnéa,Bergström,Bäcktorget 256,Västerås,93821,Sverige,SE,19840611-1188,+46,045-98 72 20,1984-06-11,True
Mats,Olsson,Björkvägen 360,Kalmar,53845,Sverige,SE,19500509-6851,+46,+46 (0)70 74 41 39,1950-05-09,True
Arne,Näslund,Industrigatan 396,Ängelholm,20931,Sverige,SE,19421103-1059,+46,+46 (0)8 532 165 09,1942-11-03,True
Karl,Pettersson,Idrottsvägen 808,Eskilstuna,89907,Sverige,SE,19710611-5944,+46,08-733 741 87,1971-06-11,True
Olav,Simonsen,Danielsenstubben 919,Britthelle,0784,Norge,NO,19751222-5863,+47,+47 79 85 52 76,1975-12-22,True
Katriina,Saari,Tahtikuja 306,Naantali,78669,Finland,FI,19900526-669C,+358,0699749164,1990-05-26,True
Roar,Fredriksen,Pettersenjordet 44,Tobiasstad,5591,Norge,NO,19631112-6806,+47,910 97 520,1963-11-12,True
Helena,Håkansson,Stationsvägen 266,Trelleborg,11661,Sverige,SE,19510108-4519,+46,0974-284 06,1951-01-08,True
Linnéa,Svensson,Järnvägsvägen 8,Uddevalla,96232,Sverige,SE,19660116-8881,+46,08-185 88 24,1966-01-16,True
Marte,Hagen,Dahltunet 559,Unnistad,2488,Norge,NO,19791112-0598,+47,14 03 14 32,1979-11-12,True
Rune,Eide,Karlsenhagen 08,Hauge,7511,Norge,NO,19490804-5586,+47,47087825,1949-08-04,True
Erling,Rasmussen,Simonsenekra 8,Kristiangrunn,7450,Norge,NO,19590128-4303,+47,29873465,1959-01-28,True
Nils,Jonsson,Järnvägsstigen 45,Halmstad,14685,Sverige,SE,19760816-2620,+46,045-516 59 73,1976-08-16,True
Wilhelm,Karlsson,Kyrkotorget 7,Alingsås,80684,Sverige,SE,19791109-7086,+46,074-563 71 26,1979-11-09,True
Arne,Andersson,Idrottsgatan 073,Sundsvall,32445,Sverige,SE,19500713-3936,+46,+46 (0)181 808 38,1950-07-13,True
Per,Nilsson,Nyvägen 13,Lidingö,84244,Sverige,SE,19430211-1827,+46,+46 (0)8 144 321 17,1943-02-11,True
Joshua,Reed,Young Plain 106,South Bradley,91330,Danmark,DK,19821223-9946,+45,(576)332-8534x29852,1982-12-23,True
Nils,Hagström,Skoltorget 5,Linköping,28344,Sverige,SE,19780212-3024,+46,08-164 804 03,1978-02-12,True
Jenny,Sköld,Idrottsgatan 48,Ängelholm,77591,Sverige,SE,19630606-9616,+46,0751-20 01 01,1963-06-06,True
Pamela,Ray,Bishop Port 1019,Bradleyport,51410,Danmark,DK,19470219-2714,+45,001-822-410-8996x8667,1947-02-19,True
